Measure Mode: wall_time
Thread ID: 47046120247500
Fiber ID: 47046130648440
Total: 93.356253
Sort by: self_time

 %self      total      self      wait     child     calls  name
  0.08      0.870     0.078     0.000     0.792    13094   ActiveRecord::AttributeMethods::Write#write_attribute
  0.08      1.168     0.078     0.000     1.090     7141  *BasicObject#instance_eval
  0.08      0.343     0.077     0.000     0.266    11688   Enumerable#detect
  0.08      0.092     0.077     0.000     0.015    71882   ActiveRecord::Transactions#update_attributes_from_transaction_state
  0.08      0.084     0.076     0.000     0.008    67607   Set#include?
  0.08      0.082     0.076     0.000     0.006    37332   ActiveRecord::Core::ClassMethods#predicate_builder
  0.08     39.579     0.076     0.000    39.503    13423   ActiveRecord::ConnectionAdapters::AbstractAdapter#log
  0.08      1.902     0.076     0.000     1.826    16939   ActiveSupport::Notifications::Instrumenter#start
  0.08     19.408     0.076     0.000    19.333     6714   ActiveRecord::ConnectionAdapters::PostgreSQLAdapter#execute_and_clear
  0.08      0.337     0.076     0.000     0.261    13423   ActiveSupport::Notifications::Event#initialize
  0.08      0.076     0.076     0.000     0.000   127356   String#==
  0.08      0.075     0.075     0.000     0.000     9591   Hash#update
  0.08      0.092     0.075     0.000     0.017    26792   Logger::Formatter#msg2str
  0.08      0.075     0.075     0.000     0.000    37218   <Class::ActiveRecord::Base>#attribute_aliases
  0.08      1.225     0.075     0.000     1.150    13423   ActiveSupport::Subscriber#start
  0.08      0.077     0.074     0.000     0.003    26857   <Module::Rails>#application
  0.08      0.260     0.074     0.000     0.186    89194  *Array#any?
  0.08      0.351     0.074     0.000     0.278    30114   Array#map!
  0.08      2.956     0.073     0.000     2.883    24952   ActiveRecord::ConnectionHandling#connection
  0.08      1.026     0.073     0.000     0.953    13714   ActiveRecord::Scoping::Default::ClassMethods#build_default_scope
  0.08      1.501     0.073     0.000     1.429    26846   ActiveSupport::Notifications::Fanout::Subscribers::Evented#start
  0.08      0.261     0.073     0.000     0.189    13423   Time#minus_without_duration
  0.08      0.458     0.073     0.000     0.385    30738   Regexp#match?
  0.08      0.291     0.072     0.000     0.218    26515  *Array#inspect
  0.08      0.354     0.072     0.000     0.282    37218   ActiveModel::AttributeMethods::ClassMethods#attribute_alias?
  0.08      0.072     0.072     0.000     0.000    26792   ActiveSupport::LogSubscriber#colorize_logging
  0.08     17.358     0.071     0.000    17.287    13423   ActiveSupport::LogSubscriber#finish
  0.08     17.666     0.071     0.000    17.596    26846   ActiveSupport::Notifications::Fanout::Subscribers::Evented#finish
  0.08      0.133     0.071     0.000     0.062    93327   Arel::Collectors::PlainString#<<
  0.08      0.071     0.071     0.000     0.000    16259   Array#flatten!
  0.07      0.296     0.070     0.000     0.226    84448   ActiveSupport::TimeWithZone#respond_to?
  0.07      1.050     0.069     0.000     0.981    26792   Logger::Formatter#format_datetime
  0.07      0.310     0.069     0.000     0.241    24564   ActiveRecord::Delegation::ClassMethods#relation_class_for
  0.07      0.137     0.069     0.000     0.068    10203   <Class::Proc>#new
  0.07      0.909     0.068     0.000     0.841     6523   ActiveRecord::AutosaveAssociation#save_belongs_to_association
  0.07      0.219     0.067     0.000     0.151    34617  *ActiveRecord::ModelSchema::ClassMethods#load_schema
  0.07      0.067     0.067     0.000     0.000    35381   String#[]
  0.07      0.715     0.066     0.000     0.649    19786   ActiveRecord::ConnectionAdapters::PostgreSQL::Quoting#_type_cast
  0.07      0.374     0.066     0.000     0.308    21143   ActiveSupport::Callbacks::CallTemplate#expand
  0.07      1.025     0.065     0.000     0.960    62488   ActiveModel::Attribute#changed_from_assignment?
  0.07      0.399     0.065     0.000     0.333    19774   Arel::Visitors::PostgreSQL#visit_Arel_Nodes_BindParam
  0.07      0.087     0.065     0.000     0.022    50841   ActiveRecord::Reflection::MacroReflection#klass
  0.07      0.064     0.064     0.000     0.000    39479   ActiveRecord::ConnectionAdapters::AbstractAdapter#type_map
  0.07      5.260     0.064     0.000     5.196    13396   ActiveRecord::LogSubscriber#extract_callstack
  0.07      0.063     0.063     0.000     0.000    95609   String#<<
  0.07      0.063     0.063     0.000     0.000    63197   Array#+
  0.07      0.201     0.063     0.000     0.138    13396   ActiveRecord::LogSubscriber#sql_color
  0.07      0.182     0.063     0.000     0.119    27247   ActiveRecord::QueryMethods#includes_values
  0.07      1.571     0.062     0.000     1.508    32898   ActiveModel::AttributeMutationTracker#change_to_attribute
  0.07      0.062     0.062     0.000     0.000    32172   Hash#default_proc
  0.07      0.249     0.062     0.000     0.187    19774   Arel::Collectors::SQLString#add_bind
  0.07      0.115     0.062     0.000     0.053    16954   ActiveSupport::Notifications::Fanout#listeners_for
  0.07      0.241     0.062     0.000     0.179    24564   ActiveRecord::Delegation::DelegateCache#relation_delegate_class
  0.07      0.355     0.062     0.000     0.293    13423   Time#minus_with_duration
  0.07      0.783     0.062     0.000     0.721    22423   ActiveRecord::Associations::BelongsToAssociation#stale_state
  0.07      0.061     0.061     0.000     0.000    17208   Hash#merge!
  0.07      0.237     0.061     0.000     0.176    13423   ActiveRecord::ExplainSubscriber#finish
  0.06      0.265     0.061     0.000     0.204    36956   ActiveRecord::QueryMethods#having_clause
  0.06      0.508     0.060     0.000     0.448    53550   ActiveModel::Attribute::FromDatabase#type_cast
  0.06      0.107     0.060     0.000     0.047    51704   ActiveSupport::TimeWithZone#is_a?
  0.06      0.214     0.060     0.000     0.154    36956   ActiveRecord::QueryMethods#from_clause
  0.06      2.645     0.060     0.000     2.585     9877   ActiveRecord::Scoping::Named::ClassMethods#all
  0.06      0.602     0.060     0.000     0.542    23503   ActiveModel::AttributeMethods#respond_to?
  0.06      0.523     0.060     0.000     0.463    17961   ActiveRecord::AttributeMethods::PrimaryKey#id
  0.06      0.085     0.060     0.000     0.025     3196   Time#utc
  0.06      0.063     0.060     0.000     0.003   114401  *Fixnum#+
  0.06      0.060     0.059     0.000     0.001    49627   ActiveRecord::Reflection::AssociationReflection#foreign_key
  0.06      0.759     0.059     0.000     0.700    13423   ActiveSupport::Concurrency::ShareLock#wait_for
  0.06      0.059     0.059     0.000     0.000   214336   Symbol#==
  0.06      0.148     0.059     0.000     0.089    36040   ActiveRecord::Persistence#new_record?
  0.06      1.189     0.059     0.000     1.130    62488   ActiveModel::Attribute#changed?
  0.06      0.788     0.059     0.000     0.729    19786   ActiveRecord::ConnectionAdapters::Quoting#type_cast
  0.06      2.695     0.058     0.000     2.637     6374   ActiveRecord::Associations::Association#target_scope
  0.06      0.058     0.058     0.000     0.000    26422   Module#method_added
  0.06      1.412     0.058     0.000     1.354    13423   ActiveSupport::LogSubscriber#start
  0.06      0.418     0.058     0.000     0.360    75782   ActiveModel::LazyAttributeHash#[]
  0.06     14.020     0.058     0.000    13.962     3180   ActiveRecord::Persistence#_create_record
  0.06      0.305     0.058     0.000     0.248    13084   Enumerable#select
  0.06      3.338     0.058     0.000     3.280     6712   ActiveRecord::ConnectionAdapters::DatabaseStatements#to_sql_and_binds
  0.06      0.067     0.057     0.000     0.010    44291   ActiveRecord::Inheritance::ClassMethods#abstract_class?
  0.06      1.260     0.057     0.000     1.203    18484   <Class::ActiveRecord::Scoping::ScopeRegistry>#value_for
  0.06      0.914     0.057     0.000     0.857    25830   ActiveRecord::AttributeMethods::Write#_write_attribute
  0.06      0.057     0.057     0.000     0.000   163269   Module#==
  0.06      0.274     0.057     0.000     0.217    33452   ActiveRecord::Relation::WhereClause#predicates_unreferenced_by
  0.06      0.164     0.056     0.000     0.107    23890   <Class::#<Class:0x0055938fd8f590>>#new
  0.06      0.998     0.056     0.000     0.942    14353   ActiveRecord::Core::ClassMethods#relation
